City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bormatolo,96,NE,1650305961,26,13.2702,12.5781,31.84,3.43
1,Menno,1,US,1650305961,30,43.2397,-97.5778,7.07,9.17
2,Río Verde,71,MX,1650305962,46,21.6242,-100.1694,27.6,3.83
3,Lábrea,93,BR,1650305962,87,-7.2586,-64.7981,27.8,1.13
4,Bacabal,81,BR,1650305700,80,-4.2917,-44.7917,28.94,0.72
5,رحمت آباد,0,IR,1650305963,14,32.5084,51.4111,16.74,2.49
6,El Borma,1,TN,1650305963,17,31.6917,9.2062,19.55,4.8
7,San Jose,75,US,1650305787,49,37.3394,-121.895,19.69,2.57
8,Panappuzha,25,IN,1650305964,84,12.1242,75.3129,26.13,1.52
9,Mikołów,100,PL,1650305735,49,50.171,18.9041,8.34,3.2
10,Haboro,44,JP,1650305964,86,44.3613,141.7301,2.37,1.79
11,Kembélé,100,GA,1650305965,96,-1.6821,11.4489,22.3,1.03
12,Santa Isabel Rio Negro,81,BR,1650305965,71,-0.4139,-65.0192,30.19,1.41
13,Wiluna,80,AU,1650305966,44,-26.6,120.2167,17.31,5.3
14,Urucará,89,BR,1650305966,61,-2.5364,-57.76,30.45,1.33
15,Peak Hill,100,AU,1650305966,67,-32.7333,148.1833,18.12,4.16
16,Hajjiabad-e Shahla'i,41,IR,1650305967,24,34.2124,46.9204,13.47,2.56
17,Thame,75,GB,1650305967,53,51.7484,-0.9762,15.79,2.57
18,Busuanga,8,PH,1650305968,74,12.1585,119.9178,27.67,2.16
19,Palmer,75,US,1650305767,25,42.1584,-72.3287,15.67,1.54
20,Morvi,1,IN,1650305968,63,22.8167,70.8333,27.86,6.47
21,Araxá,6,BR,1650305679,46,-19.5933,-46.9406,25.35,0.27
22,Dunmore,0,US,1650305969,42,41.4198,-75.6324,9.83,5.81
23,Altamira,40,BR,1650305969,62,-3.2033,-52.2064,32.05,2.06
24,Taiyu,34,CN,1650305969,36,34.9327,108.0598,9.51,0.83
25,Cape Horn,100,CA,1650305970,91,49.2333,-122.8368,7.66,4.12
26,Inguiniel,100,FR,1650305970,73,47.9766,-3.2807,13.72,3.77
27,Kumul,0,CN,1650305971,13,42.8,93.45,14.98,2.06
28,Nicolet,0,CA,1650305971,48,46.2168,-72.6158,10.4,3.09
29,Montauriol,82,FR,1650305971,71,44.6159,0.5835,17.95,3.01
30,Ора,0,RU,1650305972,71,51.1905,58.7088,9.5,4.0
31,Japurá,6,BR,1650305972,49,-23.4693,-52.5557,24.57,1.92
32,Kochadhamin,0,IN,1650305972,61,26.0747,87.7452,27.53,7.05
33,Mzefroune,98,MA,1650305973,62,34.8423,-5.6841,19.76,2.77
34,Gaoqiao,90,CN,1650305973,91,26.6336,110.9,13.11,0.91
35,Las Guamas,99,VE,1650305973,51,7.7637,-72.332,22.84,2.61
36,Hathazari,4,BD,1650305974,94,22.5051,91.8089,25.65,2.55
37,Gogango,0,AU,1650305974,94,-23.6667,150.0333,17.23,1.23
38,Stanisławów,100,PL,1650305975,44,52.2894,21.5485,9.69,2.41
39,Codajás,43,BR,1650305975,74,-3.8367,-62.0569,29.11,1.12
40,Kacangan,100,ID,1650305975,93,-7.6457,111.8676,25.07,0.34
41,Samari,100,NG,1650305976,48,10.2966,12.0814,29.29,2.18
42,Dunbar,100,US,1650305820,78,38.3606,-81.7374,10.55,3.6
43,Gonohe,75,JP,1650305977,87,40.5373,141.3085,6.99,7.72
44,Lappeenranta,0,FI,1650305772,65,61.0587,28.1887,6.03,1.03
45,Pontes e Lacerda,17,BR,1650305950,52,-15.2261,-59.3353,28.18,2.58
46,Zarautz,78,ES,1650305977,79,43.2844,-2.1699,14.69,2.45
47,Tufiño,75,EC,1650305978,59,0.8001,-77.8557,17.2,4.12
48,Nangou,0,CN,1650305978,43,38.6346,112.3837,2.24,2.6
49,Athens,75,GR,1650305953,77,37.9795,23.7162,10.78,4.92
50,Newport Beach,20,US,1650305959,68,33.6189,-117.9289,24.67,1.79
51,Coburg,72,DE,1650305818,47,50.2667,10.9667,10.76,2.82
52,In Salah,38,DZ,1650305979,12,27.195,2.4826,27.56,2.7
53,Lüllingen,0,DE,1650305979,32,51.5361,6.2432,18.45,1.03
54,Lofthus,30,NO,1650305980,53,59.9468,10.8018,12.18,2.05
55,North Boyanup,94,AU,1650305980,79,-33.4297,115.6852,15.56,1.75
56,Boa Vista,75,BR,1650305981,40,2.8197,-60.6733,33.99,3.09
